process type	subtype	subtype2	subtype3	middle_ranged	middle_non-ranged	effective
relational	possessive	containment	null	null	null	"comprise, contain, consist of, house; include, exclude, involve"
relational	possessive	benefaction	null	null	null	"provide, afford; owe"
relational	circumstantial	temporal	null	"last, take, date from; range from"	null	greet, predate, anticipate, co-occur with
relational	circumstantial	temporal	null	null	null	take up, follow, precede
relational	circumstantial	spatial	null	run, extend from, reach	null	cross, circle, surround, enclose, follow, cover, crown, span, overhang, extend over, permeate, dominate, support, face, parallel, overlook, inhabit
relational	circumstantial	comparative	null	"differ from; become, suit"	null	"resemble, match, fit; exceed, outnumber"
relational	circumstantial	causal	reason	null	null	"bring about, cause, lead to, produce, result in; arise from"
relational	circumstantial	causal	concession	null	null	conflict with, contradict, contravene, preclude, prevent
relational	circumstantial	causal	condition	depend on, hinge on	null	condition, determine
relational	circumstantial	accompaniment	null	null	null	accompany, complement
relational	circumstantial	matter	null	concern, be concerned with, deal with, treat of, go into	null	cover, touch upon, take up, discuss, expound on
existential	neutral	exist	null	null	exist, remain	null
existential	neutral	happen	null	null	"arise; occur, come about, happen, take place"	null
existential	+ circumstantial feature	time	null	null	follow, ensue	null
existential	+ circumstantial feature	place	null	null	"sit, stand, lie; hang, rise, stretch, emerge, grow"	null
existential	abstract	null	null	null	erupt, flourish, prevail	null
