no	item	auxiliary 	catenative	PROCESS.material	PROCESS.behavioural	PROCESS.mental	PROCESS.verbal	PROCESS.relational	PROCESS.existential
55	feel	null	null	null	 examine or search by touch	" be aware of (a person or object) through touching or being touched; experience (an emotion or sensation); have a belief or impression, especially without an identifiable reason, hold an opinion "	null	 experience (an emotion or sensation)	null
56	find	null	null	" reach, arrive at; succeed in obtaining; summon up with an effort"	" ascertain by study; discover after a deliberate search"	" become aware of; perceive by chance"	null	" perceive to be the case; declare to be the case"	null
57	flourish	null	null	" (of a person, animal, or other living organism) grow or develop in a healthy or vigorous way, especially as the result of a particularly favourable environment; (of a person) wave (thing) around to attract the attention of others"	null	null	null	null	 develop rapidly and successfully
58	follow	null	null	" go after. go or come after (a person or thing proceeding ahead); move or travel behind; come after in time or order; act according to (an instruction or precept)"	null	[ understand got it realize accept idea belief]	null	" be after, be after in time or order; happen after (thing else) as a consequence;  be according to"	null
59	force	null	 [modulation: agency and causative]	" break open by force; push into a position; make do against will"	 achieve by effort, force a smile	null	null	null	null
60	forget	null	 [modulation: reason] not do according to intention	 fail to bring	null	" fail to remember; cease to think of"	null	null	null
61	get	 [voice: passive: mutative]	" [time-phase: inceptive];  [modulation: agency and causative]"	" receive; go; catch; strike; punish"	null	" understand; baffle; annoy; amuse"	null	 become	null
62	go on	null	 [time-phase: durative]	" happen; take place; continue or persevere"	 talk at great length, especially tediously or angrily	null	 continue speaking or doing thing after a short pause	null	null
63	grow	null	 [time-phase: inceptive] come to feel or know thing over time	" undergo natural; become larger or greater over a period of time; increase"	null	null	null	 become gradually or increasingly	null
64	happen	null	 [modulation: reason] do by chance	 occur, take place	null	null	null	 come about by chance it	present eventuate
65	hasten	null	 [modulation: manner] do quickly	" move quickly; cause to happen sooner"	null	null	null	null	null
66	hate	null	 [projection: proposal: desideration]	null	null	 feel intense dislike for	null	null	null
67	have	 [tense: secondary: past have v-en]	 [modulation: agency and causative]	" undergo; perform; receive"	 perform have a look	null	null	" possess; hold"	null
68	help	null	 [modulation: accompaniment] do together with	" assist; serve him, her, them, us"	null	null	null	null	null
69	hesitate	null	 [modulation: manner] do reluctantly	 pause before doing	null	[ have + idea, doubt, fear]	 pause before saying	null	null
70	hold	null	null	hold	null	 have or adhere to (a belief or opinion)	" (of a judge or court) rule; decide"	" contain, contain or be capable of containing (a specified amount); have in  possession; be or remain valid or available;  [assigned] consider (him, her, them, us) to be responsible or liable for a particular situation"	null
71	hope	null	 [projection: proposal: expectation]	null	null	 want thing to be the case	null	null	null
72	include	null	null	 make part of a whole or set	null	null	null	 comprise or contain as part of a whole	null
73	indicate	null	null	 (of a person) direct attention to (him, her, them, us or thing) by means of a gesture	null	null	 admit to or state briefly	" point out; show; be a sign or symptom of; strongly imply"	null
74	insist on	null	 [modulation: manner] do perversely	null	null	null	 demand forcefully	null	null
75	intend	null	[projection: proposal: intention]	null	null	 plan that	null	null	null
76	keep	null	" [time-phase: durative]; continue doing or do repeatedly or habitually  [causative] make (him, her, them, us) do thing for a period of time"	" continue or cause to continue in a specified condition, position, course, etc. ; provide for the sustenance of (him, her, them, us); make written entries in (a diary) on a regular basis; delay or detain; cause to be late"	null	null	null	" continue or cause to continue in a specified condition, position, course, etc. ; have or retain possession of; (of a perishable commodity) remain in good condition"	null
77	know	null	null	null	null	 be aware of, have knowledge (of), be familiar with, have good command of, have personal experience of	null	null	null
78	learn	null	 [potentiality: become able to]	 acquire skill	 commit to memory	come to know	null	null	null
79	let	null	 [modulation: agency and causative]	" allow to pass; rent"	null	null	null	null	null
80	like	null	 [projection: proposal: desideration]	null	null	" find agreeable; wish for, want"	null	null	null
81	long	null	 [projection: proposal: desideration]	null	null	 have a strong wish or desire	null	null	null
82	look	null	null	null	 direct  gaze toward him, her, them, us or thing or in a specified direction	null	null	 have the appearance or give the impression of being, seem	null
83	make	null	 [modulation: agency and causative]	" create; draw up; cause to exist; gain, earn; act as if"	null	null	null	" constitute; appoint; cause to be"	null
84	manage	null	 [conation: reussive]	" control; serve as manager of; succeed against odds"	null	null	null	null	null
85	mean	null	 [projection: proposal: intention]	null	null	" intend to convey; be of importance to"	null	" represent; have as a consequence"	null
86	mind	null	 [projection: proposal: desideration] be reluctant to do	 take care of temporarily	null	" be annoyed by; regard as important"	null	null	null
87	move	null	null	" go in a specified direction or manner; change position; change or cause to change from one state, opinion, sphere, or activity to another; make progress; develop in a particular manner or direction"	null	 provoke a strong feeling, especially of sorrow or sympathy	 propose for discussion and resolution at a meeting or legislative assembly	null	null
88	need	null	 [projection: proposal: needing]	null	null	null	null	 require a, an, the, this, that, those, these because it is essential	null
89	oblige	null	 [modulation: agency and causative]	null	null	 please	null	null	null
90	permit	null	 [modulation: agency and causative]	null	null	null	null	" authorize; make possible"	null
91	plan	null	 [projection: proposal: intention]	 design, arrange	null	 decide in advance	null	null	null
92	play	null	null	play	null	null	null	 represent (a character) in a theatrical performance or on film	null
93	possess	null	null	 (of a demon or spirit, especially an evil one) have complete power over (him, her, them, us) and be manifested through their speech or actions	null	null	null	" have as belonging to one; own"	null
94	practise	null	 [potentiality: become able to]	"perform to improve; perform regularly; pursue, be engaged in"	null	null	null	null	null
95	pretend	null	 [projection: proposition: pretending	null	null	 simulate, engage in a game or fantasy that involves supposing thing that is not the case to be so	" speak so as to make it appear; lay claim to"	null	null
96	profess	null	 [projection: proposition: claiming]	 received into a religious order under vows	null	null	" claim openly but often falsely; affirm ones faith in or allegiance to"	null	null
97	promise	null	 [projection: proposal: promising	 pledge to marry	null	null	" assure him, her, them, us; announce as being expected to happen"	 give good grounds for	null
98	prove	null	 [reality-phase: realized]	" (of bread dough) become aerated by the action of yeast; rise"	null	null	 demonstrate the truth or existence of (thing) by evidence or argument	" be seen or found to be; demonstrate by evidence or argument (him, her, them, us or thing) to be"	null
99	provide	null	null	 make available for use , supply, feed, serve, present, furnish	null	null	 stipulate a will other legal document	null	null
100	refuse	null	" [projection: proposal: consenting (negative)]
 [conation: reussive]"	" not give; not jump"	null	null	 indicate or show that one is not willing to do thing	null	null
101	regret	null	 [modulation: manner] do sadly	null	null	 feel sad, repentant	null	null	null
102	remain	null	null	null	null	null	null	" keep; unchange; continue to possess a particular quality fulfil a particular role; stay in the place that one has been occupying; be left over after others or other parts have been completed, used, dealt with"	 continue to exist
103	remember	null	 [modulation: reason] do according to intention	null	null	 recall	 convey greetings to	null	null
104	remind	null	 [modulation: reason and causative]	null	null	" cause to remember; cause to think"	 bring to the attention of	null	null
105	request	null	 [projection: proposal: demanding]	null	null	null	 politely or formally ask for	null	null
106	require	null	" [modulation: agency and causative]
 [projection: proposal: needing]"	null	null	null	null	" need; specify as compulsory"	null
107	run	null	null	" move at a speed faster than walk; flow or cause to flow; make a regular journey; manage; be or cause to be in operation; smuggle"	null	null	null	" become; cost"	null
108	say	null	 [projection: proposition: hearsay] be said	null	null	null	 indicate	null	null
109	see	null	null	" meet; escort; him, her, them, us out"	null	" perceive with eyes; understand"	null	 ensure (to it that)	null
110	seem	null	 [reality-phase: apparent]	null	null	null	null	" give the impression or sensation of being thing or having a particular quality; (it seems or it would seem) used to suggest in a cautious, guarded, or polite way that thing is true or a fact"	 appear to exists
111	show	null	null	null	null	null	 display or allow to be perceived	" be visible; demonstrate, prove"	null
112	smell	null	null	 emit an odour or scent of a specified kind	 sniff at, sniff at (thing) in order to perceive or detect its odour or scent	 perceive or detect the odour or scent of (thing)	null	 emit an odour or scent of a specified kind, have a strong or unpleasant odour	null
113	sound	null	null	 emit or cause to emit sound	null	null	null	 convey a specified impression when heard	null
114	start	null	" [time-phase: inceptive]; [causative]"	" come into being; begin or be reckoned from a particular point in time or space; cause (an event or process) to happen"	 give a small jump or make a sudden jerking movement from surprise or alarm	null	null	null	null
115	stink	null	null	" emit smell; [ a place up] fill a place with a strong unpleasant smell"	null	null	null	" have a strong unpleasant smell;  be very unpleasant, contemptible, or scandalous"	null
116	stop	null	" [time-phase: inceptive]; [causative]"	" (of an event, action, or process) come to an end; cease to happen; cause (an action, process, or event) to come to an end; block or close up (a hole or leak)"	null	null	null	null	null
117	strive	null	 [conation: conative]	 try to achieve, obtain	null	null	null	null	null
118	succeed	null	 [conation: reussive]	" achieve result; take over from"	null	null	null	 follow	null
119	suck	null	null	" draw into the mouth by contracting the muscles of the lip and mouth to make a partial vacuum; draw in a specified direction by creating a vacuum"	null	null	null	 be very bad, disagreeable, or disgusting	null
120	supply	null	null	" make (thing needed or wanted) available to him, her, them, us; provide"	null	null	null	 be adequate to satisfy (a requirement or demand)	null
121	take	null	null	" lay hold of with hand; reach for hold; remove from a place; consume; carry bring with; accept receive; perform action task"	null	" understand accept valid; tolerate, stand; assume "	null	" regard or view in a specified way; accommodate; require as part of "	null
122	taste	null	null	 eat or drink a small portion of	 " sample or test the flavour of (food or drink) by taking it into the mouth"	" perceive or experience the flavour of; have experience of"	null	 have a specified flavour	null
123	teach	null	 [potentiality: achieval and causative]	 instruct	null	 cause to know	 show, explain	 cause	null
124	tell	null	null	null	null	" decide or determine correctly or with certainty; distinguish (one person or thing) from another; perceive (the difference) between one person or thing and another"	" communicate information, facts, or news to him, her, them, us; order, instruct, or advise (him, her, them, us) to do thing; narrate or relate (a tale or story); reveal (information) to him, her, them, us in a nonverbal way"	null	null
125	tend	null	 [modulation: time] do typically	" go or move in a particular direction ; [to, towards] be liable to possess or display (a particular characteristic)"	null	null	null	null	null
126	thank	null	null	null	null	null	" express gratitude to him, her, them, us; request of command, implying reproach or annoyance"	null	null
127	threaten	null	 [projection: proposal: promising]	 seem likely to occur	null	null	 state ones intention to take hostile action	 cause to be vulnerable, endanger	null
128	throw	null	null	throw	null	" surprise, disconcert; confuse"	null	null	null
129	try	null	" [conation: conative]
 [modulation: purpose] do as means to an end"	" test; subject to trial"	null	 make severe demands on (a person or a quality, typically patience)	null	null	null
130	turn	null	null	" move or cause to move in a circular direction wholly or partly around an axis or point; shape (thing) on a lathe"	null	null	null	 become, change in nature, state, form, or colour	null
131	understand	null	null	null	null	" perceive the intended meaning of; infer thing from information received; assume to be the case, take for granted"	null	null	null
132	undertake	null	 [projection: proposal: promising]	 take on	null	null	" guarantee affirm; give formal pledge"	null	null
133	upset	null	null	" knock (thing) over; cause disorder in (thing); disrupt"	null	 make (him, her, them, us) unhappy, disappointed, or worried	null	null	null
134	venture	null	 [modulation: manner] do tentatively	" dare to do; expose to the risk of loss of"	null	null	 dare to say	null	null
135	vow	null	 [projection: proposal: promising]	null	null	null	 solemnly promise	null	null
136	want	null	 [projection: proposal: desideration]	null	null	 desire to possess, wish for	null	" be short of, lack; desire to be"	null
137	wish	null	 [projection: proposal: desideration]	null	null	 desire, hope for	null	 desire him, her, them, us to have success good well	null
138	date	null	null	meet see place restaurant friend	null	friendship pleasing enjoyable agreeable	null	null	null
139	observe	null	null	null	taking action to view watch	pay attention to in silent	null	null	null
140	go	null	null	visit place where motion move	null	null	say tell let us be like	run process get fall	null
